Unix Timestamp,Date,day of week,Symbol,Open,High,Low,Close,Volume,R
1467777600.0,2016-07-06 04:00:00,2,BTCUSD,677.0,679.51,666.84,673.12,806.2332716,-0.0057476530700642315
1467691200.0,2016-07-05 04:00:00,1,BTCUSD,679.89,679.89,661.13,677.0,1330.425982,-0.004259747466673856
1467604800.0,2016-07-04 04:00:00,0,BTCUSD,670.0,679.89,665.58,679.89,888.2109251,0.01465330799393698
1467518400.0,2016-07-03 04:00:00,6,BTCUSD,692.11,693.65,645.86,670.0,559.7495239,-0.03246719013750149
1467432000.0,2016-07-02 04:00:00,5,BTCUSD,679.52,703.03,678.32,692.11,935.0849574,0.018358235957552302
1467345600.0,2016-07-01 04:00:00,4,BTCUSD,687.96,688.01,671.44,679.52,1692.945576,-0.012344030143330768
1467259200.0,2016-06-30 04:00:00,3,BTCUSD,638.47,693.31,637.34,687.96,2257.453424,0.07465600746091126
1467172800.0,2016-06-29 04:00:00,2,BTCUSD,640.25,648.7,631.43,638.47,1579.217958,-0.0027840358322542102
1467086400.0,2016-06-28 04:00:00,1,BTCUSD,657.09,657.09,636.46,640.25,1266.651719,-0.02596227032457921
1467000000.0,2016-06-27 04:00:00,0,BTCUSD,649.13,657.15,628.48,657.09,1623.165219,0.012187990592716214
1466913600.0,2016-06-26 04:00:00,6,BTCUSD,665.01,665.01,614.04,649.13,866.2703744,-0.024169073325277936
1466827200.0,2016-06-25 04:00:00,5,BTCUSD,696.98,696.98,646.42,665.01,384.1561196,-0.04695463780746485
1466740800.0,2016-06-24 04:00:00,4,BTCUSD,653.5,696.99,641.08,696.98,1547.823615,0.0644141828799638
1466654400.0,2016-06-23 04:00:00,3,BTCUSD,586.75,654.56,560.01,653.5,3498.701907,0.10774369833314375
1466568000.0,2016-06-22 04:00:00,2,BTCUSD,657.2,674.99,560.01,586.75,3283.298245,-0.11338955143198017
1466481600.0,2016-06-21 04:00:00,1,BTCUSD,699.0,712.33,625.0,657.2,2946.840051,-0.06166235607069717
1466395200.0,2016-06-20 04:00:00,0,BTCUSD,760.21,762.81,639.35,699.0,2246.947505,-0.08394396866786336
1466308800.0,2016-06-19 04:00:00,6,BTCUSD,752.51,765.0,746.28,760.21,703.1134489,0.010180425330396495
1466222400.0,2016-06-18 04:00:00,5,BTCUSD,740.65,788.55,740.65,752.51,1606.604824,0.015886106543215935
1466136000.0,2016-06-17 04:00:00,4,BTCUSD,774.32,774.32,707.45,740.65,3135.763368,-0.04445704581277207
1466049600.0,2016-06-16 04:00:00,3,BTCUSD,730.0,774.32,722.85,774.32,5321.341566,0.05894069069839644
